# angle in degree, follower displacement, angle in radian, cam radial distance
2.200000000000000000e+02,9.199999999999999289e+00,3.839724354387525018e+00,1.919999999999999929e+01
2.210000000000000000e+02,9.118000000000000327e+00,3.857177646907468116e+00,1.911800000000000210e+01
2.220000000000000000e+02,9.032000000000000028e+00,3.874630939427411658e+00,1.903200000000000003e+01
2.230000000000000000e+02,8.942000000000000171e+00,3.892084231947354755e+00,1.894200000000000017e+01
2.240000000000000000e+02,8.848000000000000753e+00,3.909537524467298297e+00,1.884799999999999898e+01
2.250000000000000000e+02,8.750000000000000000e+00,3.926990816987241395e+00,1.875000000000000000e+01
2.260000000000000000e+02,8.647999999999999687e+00,3.944444109507184937e+00,1.864799999999999969e+01
2.270000000000000000e+02,8.541999999999999815e+00,3.961897402027128035e+00,1.854200000000000159e+01
2.280000000000000000e+02,8.431999999999998607e+00,3.979350694547071576e+00,1.843199999999999861e+01
2.290000000000000000e+02,8.317999999999999616e+00,3.996803987067014674e+00,1.831799999999999784e+01
2.300000000000000000e+02,8.200000000000001066e+00,4.014257279586957772e+00,1.820000000000000284e+01
2.310000000000000000e+02,8.077999999999999403e+00,4.031710572106900869e+00,1.807799999999999940e+01
2.320000000000000000e+02,7.951999999999999957e+00,4.049163864626844855e+00,1.795199999999999818e+01
2.330000000000000000e+02,7.822000000000000064e+00,4.066617157146787953e+00,1.782199999999999918e+01
2.340000000000000000e+02,7.687999999999998835e+00,4.084070449666731051e+00,1.768799999999999883e+01
2.350000000000000000e+02,7.549999999999999822e+00,4.101523742186674149e+00,1.755000000000000071e+01
2.360000000000000000e+02,7.408000000000000362e+00,4.118977034706618134e+00,1.740800000000000125e+01
2.370000000000000000e+02,7.261999999999999567e+00,4.136430327226561232e+00,1.726200000000000045e+01
2.380000000000000000e+02,7.112000000000000099e+00,4.153883619746504330e+00,1.711200000000000188e+01
2.390000000000000000e+02,6.958000000000000185e+00,4.171336912266447428e+00,1.695799999999999841e+01
2.400000000000000000e+02,6.799999999999998934e+00,4.188790204786390525e+00,1.679999999999999716e+01
2.410000000000000000e+02,6.638000000000000789e+00,4.206243497306334511e+00,1.663800000000000168e+01
2.420000000000000000e+02,6.471999999999999531e+00,4.223696789826277609e+00,1.647200000000000131e+01
2.430000000000000000e+02,6.302000000000001378e+00,4.241150082346220707e+00,1.630199999999999960e+01
2.440000000000000000e+02,6.128000000000000114e+00,4.258603374866163804e+00,1.612800000000000011e+01
2.450000000000000000e+02,5.949999999999999289e+00,4.276056667386107790e+00,1.594999999999999929e+01
2.460000000000000000e+02,5.767999999999999794e+00,4.293509959906050888e+00,1.576800000000000068e+01
2.470000000000000000e+02,5.582000000000000739e+00,4.310963252425993986e+00,1.558200000000000074e+01
2.480000000000000000e+02,5.392000000000000348e+00,4.328416544945937083e+00,1.539199999999999946e+01
2.490000000000000000e+02,5.198000000000000398e+00,4.345869837465880181e+00,1.519800000000000040e+01
2.500000000000000000e+02,5.000000000000000000e+00,4.363323129985824167e+00,1.500000000000000000e+01
2.510000000000000000e+02,4.801999999999999602e+00,4.380776422505767265e+00,1.480199999999999960e+01
2.520000000000000000e+02,4.607999999999999652e+00,4.398229715025710362e+00,1.460800000000000054e+01
2.530000000000000000e+02,4.417999999999999261e+00,4.415683007545653460e+00,1.441799999999999926e+01
2.540000000000000000e+02,4.231999999999999318e+00,4.433136300065597446e+00,1.423199999999999932e+01
2.550000000000000000e+02,4.049999999999998934e+00,4.450589592585540544e+00,1.404999999999999893e+01
2.560000000000000000e+02,3.871999999999999442e+00,4.468042885105483641e+00,1.387199999999999989e+01
2.570000000000000000e+02,3.698000000000000842e+00,4.485496177625426739e+00,1.369800000000000040e+01
2.580000000000000000e+02,3.528000000000000469e+00,4.502949470145369837e+00,1.352800000000000047e+01
2.590000000000000000e+02,3.362000000000000544e+00,4.520402762665313823e+00,1.336200000000000010e+01
2.600000000000000000e+02,3.200000000000000622e+00,4.537856055185256920e+00,1.320000000000000107e+01
2.610000000000000000e+02,3.042000000000000259e+00,4.555309347705200018e+00,1.304199999999999982e+01
2.620000000000000000e+02,2.887999999999999901e+00,4.572762640225143116e+00,1.288799999999999990e+01
2.630000000000000000e+02,2.737999999999999989e+00,4.590215932745087102e+00,1.273799999999999955e+01
2.640000000000000000e+02,2.591999999999999638e+00,4.607669225265030200e+00,1.259199999999999875e+01
2.650000000000000000e+02,2.449999999999999734e+00,4.625122517784973297e+00,1.244999999999999929e+01
2.660000000000000000e+02,2.311999999999999389e+00,4.642575810304916395e+00,1.231199999999999939e+01
2.670000000000000000e+02,2.177999999999999492e+00,4.660029102824859493e+00,1.217799999999999905e+01
2.680000000000000000e+02,2.047999999999999154e+00,4.677482395344803479e+00,1.204799999999999827e+01
2.690000000000000000e+02,1.922000000000000597e+00,4.694935687864746576e+00,1.192200000000000060e+01
2.700000000000000000e+02,1.800000000000000488e+00,4.712388980384689674e+00,1.180000000000000071e+01
2.710000000000000000e+02,1.682000000000000384e+00,4.729842272904632772e+00,1.168200000000000038e+01
2.720000000000000000e+02,1.568000000000000282e+00,4.747295565424576758e+00,1.156799999999999962e+01
2.730000000000000000e+02,1.458000000000000185e+00,4.764748857944519855e+00,1.145800000000000018e+01
2.740000000000000000e+02,1.352000000000000091e+00,4.782202150464462953e+00,1.135200000000000031e+01
2.750000000000000000e+02,1.250000000000000000e+00,4.799655442984406051e+00,1.125000000000000000e+01
2.760000000000000000e+02,1.151999999999999913e+00,4.817108735504349148e+00,1.115199999999999925e+01
2.770000000000000000e+02,1.057999999999999829e+00,4.834562028024293134e+00,1.105799999999999983e+01
2.780000000000000000e+02,9.679999999999998606e-01,4.852015320544236232e+00,1.096799999999999997e+01
2.790000000000000000e+02,8.819999999999996732e-01,4.869468613064179330e+00,1.088199999999999967e+01
2.800000000000000000e+02,7.999999999999996003e-01,4.886921905584122428e+00,1.079999999999999893e+01
2.810000000000000000e+02,7.219999999999995310e-01,4.904375198104066413e+00,1.072199999999999953e+01
2.820000000000000000e+02,6.480000000000003535e-01,4.921828490624009511e+00,1.064799999999999969e+01
2.830000000000000000e+02,5.780000000000002913e-01,4.939281783143952609e+00,1.057799999999999940e+01
2.840000000000000000e+02,5.120000000000002327e-01,4.956735075663895707e+00,1.051200000000000045e+01
2.850000000000000000e+02,4.500000000000001221e-01,4.974188368183838804e+00,1.044999999999999929e+01
